,Salary,Adjusted Salary
"('Philadelphia', 'Tyler Johnson')",128709,140369
"('Philadelphia', 'Willie Cauley-Stein')",120083,130962
"('Philadelphia', 'Braxton Key')",53176,57993
"('Toronto', 'Pascal Siakam')",33003936,35994012
"('Toronto', 'Fred VanVleet')",19675926,21458517
"('Toronto', 'Gary Trent Jr')",16225000,17694945
"('Toronto', 'OG Anunoby')",16071429,17527461
"('Toronto', 'Thaddeus Young')",14190000,15475579
"('Toronto', 'Scottie Barnes')",7280400,7939986
"('Toronto', 'Chris Boucher')",7020000,7655995
"('Toronto', 'Khem Birch')",6350000,6925294
"('Toronto', 'Precious Achiuwa')",2711280,2956915
"('Toronto', 'Malachi Flynn')",2048040,2233587
"('Toronto', 'Drew Eubanks')",1762796,1922501
"('Toronto', 'Yuta Watanabe')",1762796,1922501
"('Toronto', 'Isaac Bonga')",1729217,1885879
"('Toronto', 'Sviatoslav Mykhailiuk')",1729217,1885879
"('Toronto', 'Dalano Banton')",925258,1009084
"('Toronto', 'Justin Champagnie')",462629,504542
"('Toronto', 'David Johnson')",462629,504542
"('Toronto', 'Sam Dekker')",350000,381709
"('Toronto', 'DJ Wilson')",308493,336441
"('Toronto', 'Armoni Brooks')",250000,272649
"('Toronto', 'Ishmail Wainright')",250000,272649
"('Toronto', 'Juwan Morgan')",95930,104621
"('Toronto', 'Tremont Waters')",95930,104621
"('Toronto', 'Daniel Oturu')",85578,93331
"('Toronto', 'Freddie Gillespie')",50000,54529
"('Washington', 'Bradley Beal')",33724200,36779530
"('Washington', 'Kristaps Porzingis')",31650600,34518067
"('Washington', 'Kentavious Caldwell-Pope')",13038862,14220151
"('Washington', 'Kyle Kuzma')",13000000,14177768
"('Washington', 'Thomas Bryant')",8666667,9451846
"('Washington', 'Rui Hachimura')",4916160,5361552
"('Washington', 'Deni Avdija')",4692840,5117999
"('Washington', 'Ishmael Smith')",4500000,4907689
"('Washington', 'Corey Kispert')",3383640,3690189
"('Washington', 'Raul Neto')",2089448,2278746
"('Washington', 'Daniel Gafford')",1782621,1944122
"('Washington', 'Vernon Carey')",1517981,1655506
"('Washington', 'Anthony Gill')",1517981,1655506
"('Washington', 'Isaiah Todd')",1500000,1635896
"('Washington', 'Tomas Satoransky')",468119,510529
"('Washington', 'Cassius Winston')",462629,504542
"('Washington', 'Joel Ayayi')",462629,504542
"('Washington', 'Greg Monroe')",138019,150523
"('Washington', 'Brad Wanamaker')",99380,108383
"('Washington', 'Alize Johnson')",99380,108383
"('Washington', 'Tremont Waters')",95930,104621
"('Washington', 'Jaime Echenique')",53176,57993
"('Washington', 'Craig Sword')",53176,57993
"('Washington', 'Jordan Goodwin')",53176,57993
"('Washington', 'Jordan Schakel')",53176,57993
"('Dallas', 'Tim Hardaway Jr')",21306816,23237161
"('Dallas', 'Spencer Dinwiddie')",19314284,21064111
"('Dallas', 'Davis Bertans')",16000000,17449561
"('Dallas', 'Dwight Powell')",11080125,12083957
"('Dallas', 'Luka Doncic')",10174391,11096166
"('Dallas', 'Reggie Bullock')",9536000,10399938
"('Dallas', 'Maxi Kleber')",8750000,9542728
"('Dallas', 'Willie Cauley-Stein')",4100000,4471450
"('Dallas', 'Dorian Finney-Smith')",4000000,4362390
"('Dallas', 'Boban Marjanovic')",3500000,3817091
"('Dallas', 'Trey Burke')",3150000,3435382
"('Dallas', 'Sterling Brown')",3000000,3271792
"('Dallas', 'Josh Green')",2957520,3225464
"('Dallas', 'Jalen Brunson')",1802057,1965319
"('Dallas', 'Frank Ntilikina')",1789256,1951358
"('Dallas', 'Moses Brown')",1701593,1855753
"('Dallas', 'Tyrell Terry')",1517981,1655506
"('Dallas', 'Marquese Chriss')",1292900,1410033
"('Dallas', 'Theo Pinson')",440710,480637
"('Dallas', 'Eugene Omoruyi')",281831,307364
"('Dallas', 'Brandon Knight')",274672,299556
"('Dallas', 'JaQuori McLaughlin')",220679,240671
"('Dallas', 'Isaiah Thomas')",151821,165575
"('Dallas', 'Moses Wright')",119645,130484
"('Dallas', 'Charlie Brown')",95930,104621
"('Dallas', 'George King')",85578,93331
"('Dallas', 'Carlik Jones')",53176,57993
"('Denver', 'Nikola Jokic')",31044906,33857499
"('Denver', 'Jamal Murray')",29467800,32137511
"('Denver', 'Aaron Gordon')",16409091,17895714
"('Denver', 'Will Barton')",15625000,17040587
"('Denver', 'Monte Morris')",8449074,9214539
"('Denver', 'JaMychal Green')",8200000,8942900
"('Denver', 'Michael Porter')",5258735,5735163
"('Denver', 'Bryn Forbes')",4500000,4907689
"('Denver', 'Jeff Green')",4500000,4907689
"('Denver', 'Facundo Campazzo')",3100000,3380852
"('Denver', 'Zeke Nnaji')",2498760,2725141
"('Denver', 'Austin Rivers')",2401537,2619110
"('Denver', 'Bones Hyland')",2096880,2286852
"('Denver', 'Vlatko Cancar')",1782621,1944122
"('Denver', 'DeMarcus Cousins')",1138659,1241818
"('Denver', 'Davon Reed')",532398,580631
"('Denver', 'Markus Howard')",462629,504542
"('Denver', 'Petr Cornelie')",218021,237773
"('Denver', 'James Ennis')",128709,140369
"('Denver', 'Rayjon Tucker')",95930,104621
"('Denver', 'Carlik Jones')",53176,57993
"('Golden State', 'Stephen Curry')",45780966,49928610
"('Golden State', 'Klay Thompson')",37980720,41421681
"('Golden State', 'Andrew Wiggins')",31579390,34440406
"('Golden State', 'Draymond Green')",24026712,26203473
"('Golden State', 'James Wiseman')",9166800,9997289
"('Golden State', 'Jonathan Kuminga')",5466360,5961598
"('Golden State', 'Kevon Looney')",5178572,5647738
"('Golden State', 'Moses Moody')",3562200,3884926
"('Golden State', 'Andre Iguodala')",2641691,2881021
"('Golden State', 'Otto Porter')",2389641,2606136
"('Golden State', 'Jordan Poole')",2161440,2357261
"('Golden State', 'Nemanja Bjelica')",2089448,2278746
"('Golden State', 'Damion Lee')",1910860,2083979
"('Golden State', 'Juan Toscano-Anderson')",1701593,1855753
"('Golden State', 'Gary Payton II')",1669178,1820401
"('Golden State', 'Shaun Livingston')",666666,727064
"('Golden State', 'Chris Chiozza')",462629,504542
"('Golden State', 'Quinndary Weatherspoon')",346491,377882
"('Golden State', 'Jeff Dowtin')",199409,217474
"('Houston', 'John Wall')",44310840,48325294
"('Houston', 'Eric Gordon')",18218818,19869398
"('Houston', 'Christian Wood')",13666667,14904833
"('Houston', 'Jalen Green')",8992080,9806740
"('Houston', 'DJ Augustin')",7000000,7634183
"('Houston', 'Dennis Schroeder')",5890000,6423619
